refGene	Sample_279_CF	Sample_571_CF	Sample_665_CF	Sample_812_CF	Sample_223_CM	Sample_487_CM	Sample_511_CM	Sample_620_CM	Sample_324_DF	Sample_338_DF	Sample_566_DF	Sample_252_DM	Sample_323_DM	Sample_763_DM
AK5	2043	968	2881	841	1589	1138	1836	3043	972	2145	828	1206	2344	1102
ZZZ3	6548	5503	6146	6615	10677	7400	4102	12052	7246	6268	4924	6590	7641	6789
MGC27382	0	4	0	0	1	0	2	0	2	3	2	0	4	0
ADGRL4	3070	2266	4349	4298	3613	2887	2877	9194	5084	2980	2525	2552	11347	7117
LINC01781	15	0	0	1	3	30	29	69	14	25	5	14	4	0
ADGRL2	1643	2536	3578	2618	8619	3222	783	9254	2800	1318	3006	1756	4604	4243
PRKACB	3943	3031	5051	3858	8948	4081	3010	7272	5595	4080	3713	3827	5735	4881
SAMD13	24	46	31	56	50	53	10	111	37	17	32	38	50	56
LINC01725	4	1	7	0	0	1	2	5	0	4	11	2	4	2
LOC101927560	11	2	8	2	0	2	3	10	7	5	10	26	6	3
TTLL7	1632	1855	2418	1321	1735	2194	1182	1921	2128	2436	2221	2254	1409	1797
LINC01461	1	0	2	1	0	10	0	4	3	1	4	2	0	7
WDR63	53	87	107	55	43	46	47	75	89	66	111	80	67	80
C1orf52	1427	1386	1455	1757	2290	1675	1700	2202	1535	1414	1554	1536	1735	1825
MCOLN2	85	70	14	2	2	31	0	118	108	56	4	26	123	54
LPAR3	8	2	9	4	0	2	6	4	30	9	4	12	14	6
COL24A1	74	254	79	120	48	169	88	136	113	122	175	175	80	322
CLCA2	4	2	6	2	12	0	4	8	12	6	10	8	15	0
HS2ST1	4194	6144	4503	4838	8163	5223	2069	7291	5767	3635	4808	2756	5948	5606
LOC101927844	0	0	0	0	0	0	0	0	0	2	0	6	1	0
LOC105378828	56	53	49	40	65	86	66	79	73	63	85	75	53	46
PKN2	9060	7329	10532	8631	14460	10127	6185	18098	10181	9357	8491	8874	11677	10461
LRRC8B	1477	719	1821	1243	2142	1672	894	2445	2281	1320	1198	1330	1696	1689
GBP1	4210	4310	6580	5766	7162	4718	2556	11695	14044	4637	4655	3368	10867	5082
GBP4	6	4	4	62	7	74	36	60	38	22	32	60	92	180
LRRC8D	4404	2580	5612	4126	6299	3987	2581	8439	5395	4165	3378	3260	4794	5613
HFM1	75	74	88	83	40	173	85	194	83	70	43	76	123	51
EVI5	5952	7455	9733	7312	12316	7817	4529	7278	7368	8440	7779	5864	9795	7315
RPAP2	1316	1227	1479	1370	1992	1494	955	2388	1664	1255	1097	1255	1600	1380
CCDC18	1747	622	1078	1093	1707	1611	550	2365	1089	1088	944	1258	1642	1270
BCAR3	6514	3860	8292	4110	9756	3653	4901	6926	7730	6325	5285	5236	8360	4615
MTF2	3052	2308	3004	3508	4816	3412	2294	5109	2618	2966	2384	2731	3617	2631
FNBP1L	5038	5565	10310	6253	9741	6833	5570	20399	6438	7518	6046	6202	7889	6239
SLC44A3	218	69	390	216	145	227	525	1460	269	583	371	244	333	213
ABCD3	3948	2453	4465	3350	6873	3368	2451	6253	4546	2767	2690	3064	4194	4027
LINC01057	64	39	86	27	16	25	100	87	48	96	124	95	54	40
ABCA4	87	59	41	75	50	67	61	45	162	119	47	234	52	68
LOC101928118	33	3	10	13	26	6	14	36	14	16	25	23	9	10
LINC01761	0	4	0	0	0	0	0	0	4	0	0	4	0	0
TMEM56-RWDD3	55	26	36	40	57	37	29	64	36	72	30	46	57	42
PTBP2	3024	2388	2690	3115	2530	4142	2710	4643	2344	3586	2686	3609	2582	3643
LINC01787	0	0	1	0	1	0	0	0	0	0	2	0	0	2
DPYD	1045	1045	1023	1965	2127	997	373	1971	606	874	922	588	1637	1152
DPYD-AS1	18	13	12	31	13	9	12	18	11	19	19	11	10	12
LOC100129620	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01776	420	206	344	297	170	350	260	264	374	175	217	300	248	284
SNX7	1979	1484	1870	1438	3004	1875	1123	3676	1701	1639	1396	1460	2981	1845
PALMD	381	118	79	250	2869	202	53	67	569	301	277	155	160	181
PLPPR4	2	38	32	2	93	106	6	8	20	0	10	4	6	61
MFSD14A	3919	3204	4871	3389	8583	4994	2567	8937	5133	4295	3270	3645	6109	4847
CDC14A	719	747	777	956	626	803	474	1162	713	706	608	665	732	879
VCAM1	2772	1087	9080	30436	496	7890	9029	11352	7585	629	3610	3186	5242	21613
OLFM3	0	0	0	0	8	0	0	0	1	2	0	0	0	0
COL11A1	129	3721	1159	1335	3938	2096	526	1431	1180	841	3358	1364	1979	2795
AMY1C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AMY1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RNPC3	926	1181	1073	1006	872	1153	1143	1482	1055	1257	1305	1246	960	1115
AMY1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VAV3	144	105	237	248	108	163	200	1320	177	199	255	206	236	183
VAV3-AS1	2	3	9	1	2	0	1	9	1	3	15	4	4	5
KIAA1324	220	145	157	140	424	85	73	142	351	232	179	197	357	201
WDR47	2150	1875	3156	1682	3593	2261	1620	3674	2836	2676	2020	1768	2941	1837
GPSM2	3078	1314	2088	1937	2296	2383	665	3203	1981	1575	1467	2005	3936	1670
MYBPHL	9	19	9	17	25	12	5	19	27	27	13	8	33	9
STXBP3	2149	1928	3068	2200	3763	2220	2134	4983	3245	2679	2040	2425	3328	3449
KCNC4	305	383	945	136	86	155	571	326	469	785	695	190	147	844
GSTM1	723	1253	103	208	133	1585	59	133	197	127	654	515	150	210
RBM15	4252	2844	3992	3932	5025	4085	2210	4771	3800	3567	2790	3757	4044	4173
TMIGD3	5	0	0	4	0	2	0	2	0	1	7	5	2	0
DRAM2	1298	1081	1602	1575	2261	1632	1409	3336	1787	1503	1263	1559	1841	2026
CTTNBP2NL	5935	5745	10130	6297	10395	7662	7459	12991	7457	9203	6641	7833	9325	7107
ST7L	715	891	1198	893	1502	1124	733	1528	1241	1111	955	1207	1470	1324
KCND3	0	6	11	4	2	4	6	0	18	0	4	6	2	2
LRIG2	2045	1862	2278	2113	2563	2673	2222	3755	2429	3033	2074	2297	2384	2630
LINC01356	86	21	120	78	56	51	180	109	62	143	134	131	59	95
MAGI3	2289	1603	2303	1921	3043	2268	1160	2823	1721	1588	1780	1697	2085	1746
AP4B1-AS1	54	34	37	38	36	44	18	42	60	35	36	39	44	62
DENND2C	244	267	281	138	268	191	211	207	321	279	246	224	367	179
TRIM33	6867	6138	7945	7371	10074	7622	5946	12686	7157	7851	6604	7326	8203	8382
SYT6	0	0	0	0	0	0	0	3	0	0	0	1	11	8
BCL2L15	55	23	37	26	60	76	26	70	37	34	48	23	42	13
NGF	45	4	54	20	502	94	27	10	42	77	146	69	10	35
TSPAN2	831	662	1710	1166	6609	658	372	1472	3257	1012	532	542	2179	1113
SYCP1	4	0	0	2	0	2	0	4	0	1	0	0	4	2
CASQ2	0	5	2	10	0	0	0	4	0	0	2	4	2	0
ATP1A1	18048	14440	30071	18472	28730	18758	14485	40517	23380	20628	17737	14805	28216	25544
CD2	0	0	0	0	0	0	6	0	0	0	0	0	0	0
SLC22A15	803	850	1356	120	462	557	1715	1943	903	2793	1638	2794	1320	1524
IGSF3	889	678	3830	544	884	1087	3350	7751	841	3109	1625	1406	1927	2378
VTCN1	8	0	7	29	18	4	8	13	4	0	2	0	10	10
CD101	106	66	50	69	99	100	45	126	56	89	60	141	107	70
LOC101929099	16	15	11	11	16	8	14	18	14	22	25	19	19	9
MAN1A2	5891	5247	6680	5757	11651	7334	3104	9670	8462	5712	5414	5090	7109	7675
SPAG17	131	57	73	36	26	103	34	129	81	185	35	169	57	63
WARS2	1236	925	1063	706	1359	1072	725	2629	1166	1003	687	739	1550	1009
LOC101929147	483	428	390	403	391	558	233	802	682	327	289	602	567	479
HAO2	2	0	0	0	2	2	3	3	2	0	0	3	0	2
FAM72B	803	211	671	511	902	530	140	806	590	463	387	531	714	511
SRGAP2-AS1	295	450	439	447	239	433	365	132	209	221	522	292	179	420
SRGAP2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SRGAP2C	3	2	10	6	0	4	6	3	1	2	5	3	0	10
LINC00623	218	131	300	364	291	459	237	472	339	439	286	327	438	312
LINC00869	677	537	644	595	1174	832	365	1185	884	862	675	716	989	768
LIX1L	3289	2640	4509	2915	5829	4091	2104	5991	4403	3397	3016	2462	4627	3767
RNF115	1803	1497	1977	1033	3779	1888	1823	3121	2359	2351	1785	1987	2290	1659
PDE4DIP	4497	8333	6065	6528	5593	5526	2872	4111	5455	5921	6703	4700	4743	9932
SEC22B	7368	7120	10811	9658	13693	7410	7202	12285	10400	9151	10491	7762	9379	12303
NOTCH2NL	13942	15889	20230	16615	10348	18376	13039	10330	13166	19860	20377	13737	13773	21181
LOC100996724	617	1152	718	1038	477	985	273	355	547	820	1172	702	473	1043
NBPF12	1827	1869	2230	1573	1012	1958	2555	1878	1507	2809	2057	2561	1471	1893
FMO5	132	116	228	83	109	129	187	256	128	251	199	298	219	149
LOC101927468	211	91	204	91	106	133	99	161	177	234	115	103	104	117
BCL9	1645	1393	2582	1585	1540	1853	1371	3810	1386	1796	1571	1595	1970	1896
LINC00624	4	0	0	2	0	0	4	4	0	0	0	2	0	0
NBPF11	6907	6228	7494	6115	4655	7418	7074	7596	5765	10251	7257	8734	6497	7244
GPR89B	1643	1160	1477	1483	3244	2199	922	2613	1969	2061	1402	1605	1865	1673
PPIAL4C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC388692	40	32	49	36	6	29	51	50	35	43	54	31	17	36
LOC101929798	0	3	4	7	2	4	1	2	2	2	6	1	0	2
PPIAL4A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM231D	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VPS45	2537	2379	2754	2221	4266	2613	1284	3952	3075	2421	2346	2564	3470	2516
ENSA	5362	3921	6085	4614	8091	4855	3618	8774	6283	5236	4348	4019	6876	5394
TARS2	1198	1020	1777	967	1301	1129	933	1813	1566	1185	1065	1110	1624	1122
RPRD2	3190	2807	3550	2702	4610	3757	1939	5817	3399	3475	2867	3164	4555	3672
CTSS	183	55	242	84	101	107	422	418	260	340	302	167	236	318
TUFT1	3670	4026	6876	3705	11468	3082	4783	6969	8517	4626	5916	3816	5766	4672
POGZ	5195	5337	6212	6329	5691	6414	4038	9861	5468	6180	4549	5751	6352	6274
SNX27	3543	3682	5857	4382	4580	4868	2885	6286	5067	4645	3798	4235	4796	5481
ZNF687	1696	1876	2500	1986	1866	2006	1784	3199	2168	1918	1911	1902	2098	2566
RORC	0	0	3	1	2	1	8	8	6	0	0	3	0	0
FLG-AS1	600	206	281	18	482	78	326	728	40	277	603	224	405	485
CHTOP	3027	1925	2824	2210	3469	2913	1438	3556	3124	2319	1959	2054	2938	2684
GATAD2B	3023	3389	4284	3877	3581	4317	3110	5857	3301	4636	3645	3379	4397	4464
NUP210L	79	65	106	120	41	82	73	106	116	83	107	91	58	135
KCNN3	41	25	139	7	6	46	20	33	247	214	111	16	18	61
PBXIP1	1850	6851	9140	5960	4092	4870	6414	10323	3709	7741	8469	4975	5614	9994
IL6R	690	388	508	273	179	311	765	495	432	265	379	489	216	300
EFNA3	31	64	54	68	56	54	90	98	66	70	38	89	77	60
LMNA	21043	22595	23051	10828	21273	18576	16210	19456	15954	12648	20086	12791	25359	13743
ASH1L	10902	10021	12091	12148	15986	13317	8304	17397	12262	11806	10134	11430	12691	12143
MSTO1	238	168	225	196	358	314	106	282	374	309	215	257	283	246
MSTO2P	1632	1423	1723	1369	2009	2415	989	1750	2611	2038	1563	2173	1833	1495
SYT11	2231	3624	5779	4234	4415	5249	2697	10270	4573	4480	4533	3311	5679	6084
LRRC71	23	60	30	41	19	24	8	14	31	18	30	27	25	35
PRCC	1828	1502	2256	1364	1706	1804	1437	1751	2129	1780	1640	1702	1990	1619
IQGAP3	8958	2178	5247	3922	6751	5018	323	8697	4092	3076	3402	2782	7712	4110
FCRL4	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CD5L	0	0	0	0	0	0	0	0	0	0	0	0	6	2
SPTA1	0	1	1	2	0	0	2	0	0	0	5	0	0	2
IFI16	4513	5993	2718	5386	5100	8190	2184	6553	6229	8670	5600	5782	6965	7923
FCRL6	0	2	8	0	0	5	1	0	5	0	2	7	4	2
KCNJ10	22	2	2	8	8	17	0	16	14	17	14	35	9	6
COPA	19520	24408	31719	32122	37833	31680	17983	38537	30384	28001	23929	20493	32571	34969
IGSF9	17	21	52	66	9	17	82	36	16	25	91	22	5	61
CASQ1	8	19	17	10	16	24	20	6	13	11	17	19	11	17
CD244	0	0	0	0	0	0	0	0	0	2	0	2	0	2
PFDN2	2538	1570	2426	2125	3280	2501	1466	2925	2818	2498	2057	2024	2903	2567
ATF6	5978	4991	9683	6064	11846	6521	5772	10647	7892	6915	6328	5565	8240	7857
NOS1AP	58	74	40	36	12	42	120	71	27	57	50	64	30	102
NUF2	3215	612	1539	1145	3322	1846	96	2061	1221	811	682	1235	2801	816
RGS5	637	2700	1326	581	16423	1065	999	1187	547	829	622	583	928	374
DDR2	116	1126	201	236	358	781	49	208	909	439	498	525	112	1768
RXRG	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LOC400794	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LMX1A	0	0	0	0	0	0	0	0	1	0	0	0	0	0
FMO9P	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM78B	22	26	4	2	23	17	10	20	26	8	18	26	4	16
UCK2	4910	3380	7111	4597	9038	4814	3644	6444	7318	5858	5446	4530	6068	4385
RCSD1	0	2	0	22	0	6	40	40	6	0	8	4	2	76
MAEL	2	0	5	0	12	2	22	12	14	38	7	37	20	3
POU2F1	4642	3362	5232	4200	5352	5423	3308	10362	4578	5129	4531	4231	5804	5692
DPT	0	0	0	0	4	0	0	2	0	0	0	0	1	0
TIPRL	3449	2330	3342	3066	6855	3882	2356	5330	4244	3242	2855	2688	4827	3921
MPC2	1578	969	1648	1321	2931	1220	1857	3213	1924	1112	1079	1227	2272	1406
DCAF6	4789	5024	6762	6222	6523	6243	5280	11276	5102	5796	4761	5135	7494	7209
LINC00970	0	0	0	0	2	0	1	0	1	0	0	0	0	2
BLZF1	3008	2471	3583	2610	5997	3366	2741	4809	4831	3786	2985	3257	5147	3646
NME7	686	538	704	632	1018	950	498	1638	787	744	701	772	967	913
ATP1B1	3864	2603	5503	2368	10220	3518	4521	8987	6854	4563	3961	2963	6295	4007
METTL11B	0	4	0	0	0	0	0	0	0	0	0	0	0	0
PRRX1	0	41	47	61	56	234	0	42	501	115	40	56	24	651
KIFAP3	1217	1397	2082	1285	2529	2104	1271	3349	1967	1758	1889	1260	2049	1764
FMO2	17	4	0	12	0	12	3	8	9	2	0	16	2	3
FMO4	81	72	103	41	36	37	61	166	104	99	68	108	89	54
VAMP4	1007	890	1411	1463	1237	1486	1064	2201	1071	1555	1236	1527	1649	1530
LOC101928673	86	208	104	173	119	143	55	87	118	152	166	121	104	125
DARS2	3829	1941	4323	2982	3459	2882	1469	6159	3403	2696	2552	2363	4619	3766
RC3H1	8365	6994	14608	6869	9481	8482	6958	16215	9764	12204	8651	9647	10741	10020
LOC100506023	182	285	224	232	185	240	136	171	271	301	294	275	205	335
SLC9C2	14	14	4	0	1	25	4	13	12	18	8	17	5	9
RABGAP1L	3680	3951	7745	4451	3942	3737	9524	8482	3794	10112	7338	7069	5023	4943
CACYBP	5635	1869	4285	2817	6560	3154	1664	5597	4499	2801	2382	2865	5404	3063
TNR	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ASTN1	18	4	7	8	2	10	19	31	2	0	2	4	26	22
PAPPA2	81	148	103	64	172	128	310	110	394	361	1069	451	44	449
LOC730102	1284	446	745	438	583	583	501	978	1015	1003	493	641	1030	466
RALGPS2	3542	2079	4043	3818	4733	3336	4001	6290	3883	5565	2953	4011	5351	5230
ABL2	20561	16571	22211	12512	31922	17740	12656	27145	25173	28410	27087	18369	25751	18457
FAM20B	6976	5123	8757	6064	10420	6496	3472	9936	9317	5360	6438	4774	9597	7668
AXDND1	46	35	35	15	19	28	96	61	27	96	58	104	55	8
TDRD5	10	2	0	2	4	4	4	7	2	9	5	31	15	4
CEP350	9853	8286	10056	10140	16716	11604	5630	17196	11144	9630	8326	9839	11897	11651
LHX4	196	309	159	220	128	123	91	126	202	208	148	188	145	151
FAM163A	6	6	68	10	2	15	53	0	20	20	7	9	4	81
TOR1AIP2	11866	11916	19191	15288	23945	13785	9840	20112	18438	13553	12116	12004	17238	18310
XPR1	3759	3418	5639	5000	8163	4785	2977	8389	6318	3816	3607	4119	5103	6048
MR1	43	56	136	54	56	89	116	274	150	450	314	296	114	203
CACNA1E	0	0	0	0	0	0	0	0	9	6	0	2	0	0
LINC01344	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMC1	46730	38400	64117	52073	91666	55620	26602	91117	53834	37761	43876	31630	97949	65619
NMNAT2	270	97	203	50	172	77	302	180	287	210	362	151	519	258
DHX9	24843	12385	22275	16299	35528	17449	6613	35770	26432	15057	12133	14456	29510	14683
RGL1	1324	2792	1586	2595	1985	2707	1076	2046	1951	1867	1793	2000	2938	1683
TSEN15	2933	1742	2045	1957	4622	3074	1031	4751	3323	2111	1641	1981	3377	2356
SWT1	477	546	633	609	531	834	528	1217	568	801	614	747	645	759
EDEM3	6886	7884	10441	9840	13753	10149	5696	13015	10161	7341	7011	6639	10940	11768
FAM129A	12340	3095	5401	3229	7505	6039	4307	12206	6127	11033	6977	9994	8626	11470
C1orf27	1824	1928	2149	1817	3448	2473	1797	3164	2479	2176	1939	2731	1986	2546
HMCN1	4632	7530	3126	8813	5578	13404	4048	12007	3179	3447	3631	3233	5454	7303
PLA2G4A	901	572	345	510	286	1080	211	513	570	450	488	608	948	498
LINC01036	19	6	0	8	0	1	0	8	0	0	4	0	0	1
LINC01037	2	2	0	6	9	0	0	4	0	0	1	0	1	0
LINC01351	2	3	2	0	4	5	0	0	2	0	0	2	2	0
BRINP3	2	6	0	3	8	4	0	8	4	0	6	0	0	8
LINC01720	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGS18	3	4	19	0	105	12	0	2	4	23	4	4	6	0
GLRX2	727	472	759	606	1146	576	338	1035	1020	647	461	489	874	706
LINC01031	6	14	4	10	7	17	6	11	6	11	14	22	19	2
CDC73	4798	4416	5801	5217	9145	5863	4189	8658	5771	4769	4447	4741	5958	5681
KCNT2	528	1144	532	2656	440	2155	584	1483	324	1086	699	1144	668	1724
CFHR4	0	1	0	1	0	0	0	0	0	0	0	2	0	0
CRB1	17	21	15	5	8	19	22	19	41	17	13	42	13	9
DENND1B	2804	1771	3812	1796	3622	2229	2619	4427	2468	3571	2401	2863	3605	2785
MIR181A1HG	698	1036	694	727	545	867	280	605	576	706	873	574	660	713
LINC01222	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRC	21	15	10	52	12	49	19	20	22	22	28	23	10	38
NR5A2	10	2	2	0	0	4	2	0	7	10	4	7	0	14
KIF14	5585	1032	3338	2138	6151	3216	242	5445	2327	2034	1652	2414	5252	2475
IGFN1	627	62	1310	74	21	150	108	857	619	1624	651	35	6	272
CAMSAP2	11233	9154	13474	9310	21238	12075	6669	19399	16287	12972	9276	10515	13438	12215
CACNA1S	1	1	5	0	0	2	4	0	1	1	0	7	0	1
LGR6	2	7	2	15	0	21	0	3	4	8	0	8	0	2
IPO9-AS1	35	25	23	68	28	47	15	21	20	21	32	8	13	34
IPO9	11602	7548	11916	10824	16106	9173	4602	13654	12997	9429	8340	8664	12617	9506
CSRP1	16302	12010	25045	14564	34238	12097	10582	16696	32237	16128	11510	9715	19354	11089
ARL8A	1790	1627	3342	1554	2553	1727	2371	2484	2206	2279	2362	1929	2375	2043
NAV1	12883	18443	19010	22737	29194	28595	7587	19730	14229	14664	19691	10131	21515	18053
ELF3	394	152	1643	987	120	611	2880	4401	748	1068	1605	822	692	976
KDM5B	9799	12843	17761	14899	20217	16513	9644	26028	13590	16133	12410	11891	16391	16601
SYT2	90	203	87	142	47	120	98	64	41	102	122	144	64	112
PPFIA4	146	517	181	848	234	110	75	68	233	208	244	239	94	175
ATP2B4	32692	17980	68259	15164	38347	17313	19826	32463	32749	32052	28957	20668	27285	31224
ZC3H11A	13295	14987	16421	20665	23894	21147	9523	32178	17025	17666	13524	16449	21174	22231
PLEKHA6	574	100	2043	63	204	154	1369	1417	376	1291	779	1126	581	402
SOX13	265	267	293	186	212	303	182	328	173	207	249	176	274	249
LRRN2	20	6	33	2	8	15	27	48	26	19	14	32	17	30
NFASC	6	0	14	7	10	10	4	8	4	27	34	24	9	5
DSTYK	2923	3298	4036	3438	4806	3710	2027	5495	4667	3754	3317	3337	3910	4579
LEMD1	1	0	1	0	0	3	8	2	2	0	0	0	0	2
RASSF5	371	458	285	407	354	471	92	300	320	174	222	197	281	408
FCMR	0	2	0	0	10	2	0	2	8	6	4	0	0	10
YOD1	3236	1847	3940	2212	6055	3716	3533	5151	3748	4008	4337	4996	3863	4330
CR1L	4	0	0	0	4	0	0	2	3	4	0	1	6	0
PLXNA2	856	813	2021	438	4059	866	1230	881	2153	1871	1545	938	2036	1571
CR1	1	0	0	0	0	0	0	1	6	6	2	2	0	2
SYT14	1879	919	2215	604	1659	1754	2704	10427	1071	3561	2060	4601	5087	1979
IRF6	430	463	2234	537	1720	1332	1791	3681	699	2792	1777	763	1639	1135
LOC101930114	4	1	2	0	1	2	9	10	3	16	6	6	6	2
KCNH1	900	1716	1282	2279	961	1449	1268	2692	1427	1047	1432	1300	1231	1411
INTS7	2313	1222	1787	1664	3457	1896	679	2836	2573	1594	1122	1565	2285	1483
LPGAT1	8683	5801	11118	6495	16767	7952	6239	16683	9945	8691	7415	7539	11356	8716
PPP2R5A	1527	874	1792	1262	2098	1280	1559	3213	1594	1446	1062	1314	1650	1788
RPS6KC1	2864	3070	3620	3314	4672	4173	1989	5083	3778	3627	3609	3290	4124	4775
PROX1-AS1	0	1	0	0	0	0	1	0	0	0	1	1	5	1
CENPF	38951	7173	21713	11094	32170	18498	1148	47825	13532	12905	10581	14091	36364	14096
PROX1	20	51	60	28	26	46	44	184	34	68	59	54	76	59
PTPN14	37033	36600	49684	49655	56490	41181	21418	70812	42861	36037	35587	27292	47766	49585
KCNK2	26	16	9	91	32	42	6	25	14	14	25	12	12	63
KCTD3	5707	4496	5507	5517	8283	5678	2766	9028	5408	4023	3813	4134	6805	5433
SPATA17	16	43	25	43	40	52	34	143	25	65	47	21	47	54
GPATCH2	2775	2761	2865	3026	4282	3635	2092	4709	3281	3255	3040	2920	3322	3600
RRP15	3704	1904	2589	2705	5903	2813	1360	3123	4655	1864	1617	1916	3322	1706
LYPLAL1-AS1	52	20	20	23	22	31	4	18	141	47	195	73	14	145
LOC102723886	10	7	5	25	2	4	5	8	3	5	0	12	0	28
RAB3GAP2	6480	5714	8586	7633	13109	7535	5460	10595	10177	8033	6691	6538	8873	8926
MARK1	933	573	1187	731	1219	1068	660	1376	762	1192	1014	730	1222	777
1-Mar	439	88	400	177	559	186	93	420	246	240	111	196	500	192
DUSP10	1761	1705	5179	682	1097	808	6776	3147	2320	4600	4698	4361	3148	3732
DISP1	1079	1106	1373	739	998	1127	939	2448	1380	1476	1294	1280	1399	1422
MIA3	6871	7473	8872	9487	15230	13698	5725	20110	11642	14570	9733	12080	10467	15255
TP53BP2	10465	4007	14895	5244	8719	6084	14340	17274	8434	18657	9487	10620	8277	9376
SUSD4	43	20	116	2	54	8	29	45	75	79	93	36	49	23
CAPN8	1	10	1	0	2	0	0	2	6	0	1	8	0	2
CNIH3	1058	1067	1163	624	331	484	569	1491	720	1380	606	523	2470	1255
SRP9	12899	8279	13580	11504	21279	12217	8389	28773	11371	8604	8642	8937	18301	13446
ACBD3	5019	5530	6833	7113	11451	7089	5098	9108	7460	6673	5905	5984	8817	8356
ENAH	16291	19236	27700	20783	55995	20398	11982	38654	29763	16410	20964	14144	23264	22847
CDC42BPA	10768	11003	12385	11959	16530	15955	6823	17873	13053	12569	10577	9939	16317	16586
STUM	2	0	4	4	0	4	17	10	0	4	2	2	8	10
COQ8A	419	569	574	646	497	474	374	971	620	478	543	808	492	684
ITPKB	321	364	900	598	757	778	735	1340	570	630	1052	801	1057	964
ZNF678	1742	997	1471	1563	2268	1780	694	2933	1524	1312	954	1795	1883	1216
SNAP47	1386	1085	1516	1522	1856	1491	784	2311	1665	1107	1108	1185	1660	1438
OBSCN	884	2960	2199	3271	395	1729	2691	1480	654	1072	2026	3354	1215	2980
WNT3A	2	7	0	2	0	2	6	2	2	2	2	6	0	0
RHOU	20	27	201	33	56	25	28	62	90	48	96	92	74	109
URB2	2891	1362	2576	2301	4377	2030	691	2754	3340	1332	1168	1631	2581	1356
PGBD5	95	68	385	95	116	226	1310	537	214	497	372	338	549	466
GALNT2	8061	9663	14384	8344	12779	8517	5971	12629	10186	7006	10059	5629	12192	11276
COG2	1779	1396	1548	1659	2680	1688	904	3107	2103	1525	1433	1570	2212	1737
TTC13	1495	875	1529	1026	2534	1213	694	1378	1601	1261	1129	1169	1400	1154
TRIM67	10	7	14	18	6	19	8	12	21	26	19	12	14	14
EXOC8	2465	2153	3247	2659	4595	2874	2177	3883	3854	2885	2540	2780	3281	3192
DISC1	139	219	153	163	87	112	86	62	97	229	161	100	108	106
PCNX2	2707	3833	3250	2945	1991	3278	3288	3466	2841	3635	3462	3255	2400	3346
SLC35F3	274	122	229	40	317	140	273	585	203	270	296	262	355	122
ARID4B	4030	5038	5776	5075	5579	6169	5244	8634	4105	6478	5672	6683	4740	6248
B3GALNT2	2409	1956	3191	2389	3957	2845	2655	4954	2550	2907	2278	2631	2988	2747
GNG4	48	31	89	117	40	46	91	36	110	12	54	20	30	107
TBCE	931	754	1165	905	1152	1035	660	1448	1050	988	937	892	983	1059
TOMM20	14172	9050	12208	9735	33096	13223	8535	20745	18742	11497	9674	9182	18338	11067
MIR5096	2	5	11	9	3	7	11	1	2	3	4	3	2	11
NID1	5490	4936	4381	7319	8380	10316	1280	6377	2921	2727	5565	2552	8074	7680
HEATR1	13591	7400	13017	9330	21380	11723	4536	19119	17067	9752	8579	9196	15697	9709
EDARADD	11103	3791	9115	5424	16249	6174	2869	14986	10861	6981	5310	5748	15383	5770
LGALS8	3761	3760	4165	5095	6857	5104	1857	6330	5369	5106	3926	3882	6103	5532
GPR137B	316	653	981	694	891	549	922	1506	747	727	846	715	792	1031
RYR2	3	0	8	0	0	1	2	12	3	0	2	6	2	2
CHRM3	6	4	10	14	0	9	2	33	12	14	6	12	10	3
FMN2	858	1080	575	1451	1914	1451	173	411	670	576	667	415	465	642
MIR1273E	0	0	0	5	1	1	0	0	0	1	0	0	0	0
WDR64	14	21	9	4	0	13	22	10	10	5	8	22	9	4
KMO	93	44	107	113	51	65	111	171	72	193	71	63	90	35
PLD5	10	4	44	7	0	0	183	213	71	245	30	36	11	49
LOC339529	0	0	0	4	2	0	4	4	0	0	3	7	3	4
AKT3	7057	7473	8080	10937	16835	11355	4329	12224	7203	6398	6582	5723	8962	12380
CEP170	33958	26606	36808	31597	69606	47698	16069	35685	33416	40956	40686	28645	43039	33671
SDCCAG8	1619	1842	2114	2254	2549	2208	1770	1796	1680	2407	2612	1942	2037	2151
DESI2	6879	5044	6087	6989	12286	8587	4047	15067	7366	6066	4921	5886	10687	7433
EFCAB2	237	270	137	212	233	305	67	641	166	164	181	348	285	385
ADSS	3633	2498	3927	3787	7705	3973	2368	4979	4968	3754	2868	2683	4728	3588
C1orf101	142	142	147	135	79	131	146	119	162	204	147	186	133	165
